DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-494	O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN1C1C2N2CN%13C(=O)N(CN%14C(=O)N(CN%15C(=O)N(CN%16C(=O)N(CN%17C(=O)N(CN1C2=O)C%12C%11%17)C%10C9%16)C8C7%15)C6C5%14)C4C3%13	Cucurbit[n]uril b	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C36H36N24O12/c61-25-37-1-38-14-16-42(26(38)62)4-46-18-20-50(30(46)66)8-54-22-24-58(34(54)70)11-57-23-21-53(33(57)69)7-49-19-17-45(29(49)65)3-41(25)15-13(37)39-2-40(14)28(64)44(16)6-48(18)32(68)52(20)10-56(22)36(72)60(24)12-59(23)35(71)55(21)9-51(19)31(67)47(17)5-43(15)27(39)63/h13-24H,1-12H2	MSBXTPRURXJCPF-UHFFFAOYSA-N	MSBXTPRURXJCPF-UHFFFAOYSA-N	O=C1N2CN3C4C5N(CN6C7C8N(CN9C%10C%11N(CN%12C%13C%14N(CN%15C%16C%17N(CN1C1C2N2CN4C(=O)N5CN7C(=O)N8CN%10C(=O)N%11CN%13C(=O)N%14CN%16C(=O)N%17CN1C2=O)C%15=O)C%12=O)C9=O)C6=O)C3=O	TRUE
UALIB-495	CN1C(=O)N(C)C2C1N(C)C(=O)N2C	1,3,4,6-Tetramethyl octahydroimidazo[4,5-d]imidazolidine-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H14N4O2/c1-9-5-6(11(3)7(9)13)12(4)8(14)10(5)2/h5-6H,1-4H3	XIUUSFJTJXFNGH-UHFFFAOYSA-N	XIUUSFJTJXFNGH-UHFFFAOYSA-N	[H]C12N(C)C(=O)N(C)C1([H])N(C)C(=O)N2C	TRUE
UALIB-496	CN1C(=S)N(C)C2C1N(C)C(=S)N2C	1,3,4,6-Tetramethyl octahydroimidazo[4,5-d]imidazolidine-2,5-dithione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H14N4S2/c1-9-5-6(11(3)7(9)13)12(4)8(14)10(5)2/h5-6H,1-4H3	JEPVGXBHJFLXEJ-UHFFFAOYSA-N	JEPVGXBHJFLXEJ-UHFFFAOYSA-N	[H]C12N(C)C(=S)N(C)C1([H])N(C)C(=S)N2C	TRUE
UALIB-497	CS[C+]1N(C)C2C(N1C)N(C)[C+](SC)N2C.F[B-](F)(F)F.F[B-](F)(F)F	1,3,4,6-Tetramethyl-2,5-bis(methylsulfanyl)-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) bis(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C10H20N4S2.2BF4/c1-11-7-8(13(3)9(11)15-5)14(4)10(16-6)12(7)2;2*2-1(3,4)5/h7-8H,1-6H3;;/q+2;2*-1	RXQDLOPOUYNCJS-UHFFFAOYSA-N	RXQDLOPOUYNCJS-UHFFFAOYSA-N	F[B-](F)(F)F.F[B-](F)(F)F.[H]C12N(C)[C+](SC)N(C)C1([H])N(C)[C+](SC)N2C	TRUE
UALIB-498	CS[C+]1N(C)C2C(N(C)C(=O)N2C)N1C.F[B-](F)(F)F	1,3,4,6-Tetramethyl-2-(methylsulfanyl)-5-oxo-octahydroimidazo[4,5-d]imidazolidin-2-ylium tetrafluoroborate	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C9H17N4OS.BF4/c1-10-6-7(11(2)8(10)14)13(4)9(15-5)12(6)3;2-1(3,4)5/h6-7H,1-5H3;/q+1;-1	IPDFXSWZTGJXOM-UHFFFAOYSA-N	IPDFXSWZTGJXOM-UHFFFAOYSA-N	F[B-](F)(F)F.[H]C12N(C)[C+](SC)N(C)C1([H])N(C)C(=O)N2C	TRUE
UALIB-499	CN1[CH+]N(C)C2C1N(C)[CH+]N2C.O=S(=O)([O-])O.O=S(=O)([O-])O	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) dihydrogensulfate 	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H16N4.2H2O4S/c1-9-5-10(2)8-7(9)11(3)6-12(8)4;2*1-5(2,3)4/h5-8H,1-4H3;2*(H2,1,2,3,4)/q+2;;/p-2	OEHZNSKTYGNPQL-UHFFFAOYSA-L	OEHZNSKTYGNPQL-UHFFFAOYSA-L	OS([O-])(=O)=O.OS([O-])(=O)=O.[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	TRUE
UALIB-500	CN1[CH+]N(C)C2C1N(C)[CH+]N2C.[Cl-].[Cl-]	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) dichloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H16N4.2ClH/c1-9-5-10(2)8-7(9)11(3)6-12(8)4;;/h5-8H,1-4H3;2*1H/q+2;;/p-2	PLEXESTXLLPXHM-UHFFFAOYSA-L	PLEXESTXLLPXHM-UHFFFAOYSA-L	[Cl-].[Cl-].[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	TRUE
UALIB-501	CN1CN(C)C2C1N(C)CN2C	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H18N4/c1-9-5-10(2)8-7(9)11(3)6-12(8)4/h7-8H,5-6H2,1-4H3	GBWWXVPVIWUTLU-UHFFFAOYSA-N	GBWWXVPVIWUTLU-UHFFFAOYSA-N	[H]C12N(C)CN(C)C1([H])N(C)CN2C	TRUE
UALIB-502	CN1[CH+]N(C)C2C1N(C)[CH+]N2C.F[B-](F)(F)F.F[B-](F)(F)F	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) bis(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H16N4.2BF4/c1-9-5-10(2)8-7(9)11(3)6-12(8)4;2*2-1(3,4)5/h5-8H,1-4H3;;/q+2;2*-1	VLEIFWURIHJGSH-UHFFFAOYSA-N	VLEIFWURIHJGSH-UHFFFAOYSA-N	F[B-](F)(F)F.F[B-](F)(F)F.[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	TRUE
UALIB-503	CN1C(=O)N(C)C2C1N(C)[C+](Cl)N2C.[Cl-]	2-Chloro – 1,3,4,6-tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H14ClN4O.ClH/c1-10-5-6(11(2)7(10)9)13(4)8(14)12(5)3;/h5-6H,1-4H3;1H/q+1;/p-1	QURIMMSUJAFZEM-UHFFFAOYSA-M	QURIMMSUJAFZEM-UHFFFAOYSA-M	[Cl-].[H]C12N(C)[C+](Cl)N(C)C1([H])N(C)C(=O)N2C	TRUE
UALIB-504	CN1C(=O)N(C)C2C1N(C)C(=C1N(C)C3C(N(C)C(=O)N3C)N1C)N2C.CN1C(=O)N(C)C2C1N(C)C(=C1N(C)C3C(N(C)C(=O)N3C)N1C)N2C	1,3,4,6-Tetramethyl-5-(1,3,4,6-tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylidene)-octahydroimidazol[4,5-d]imidazolin-2-one	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/2C16H28N8O2/c2*1-17-9(18(2)12-11(17)21(5)15(25)22(12)6)10-19(3)13-14(20(10)4)24(8)16(26)23(13)7/h2*11-14H,1-8H3	VEENEILIRBPHFG-UHFFFAOYSA-N	VEENEILIRBPHFG-UHFFFAOYSA-N	[H]C12N(C)C(=O)N(C)C1([H])N(C)C(N2C)=C1N(C)C2C(N(C)C(=O)N2C)N1C.[H]C12N(C)C(=O)N(C)C1([H])N(C)C(N2C)=C1N(C)C2([H])N(C)C(=O)N(C)C2([H])N1C	TRUE
UALIB-505	CN1[CH+]N(C)C2C1N(C)C(=O)N2C.[Cl-]	1,3,4,6-Tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C8H15N4O.ClH/c1-9-5-10(2)7-6(9)11(3)8(13)12(7)4;/h5-7H,1-4H3;1H/q+1;/p-1	WHQYSQQFSZZODB-UHFFFAOYSA-M	WHQYSQQFSZZODB-UHFFFAOYSA-M	[Cl-].[H][C+]1N(C)C2([H])N(C)C(=O)N(C)C2([H])N1C	TRUE
