SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@H](O)C[C@H](CC(O)=O)O1)OCOC	UALIB-759	2-((2R,4S,6R)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-hydroxytetrahydro-2H-pyran-2-yl)acetic acid	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	RPSAXAVZMIOJSJ-BTFPBAQTSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@H]2C[C@H](CC(=O)O2)O1)OCOC	UALIB-760	(1S,5R,7S)-7-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-2,6-dioxabicyclo[3.3.1]nonan-3-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	PCUPJGKGNJWCDN-YYFQZIEXSA-N
C[C@H]1C[C@@H](C[C@H]2C[C@H]3C[C@H](CC(=O)O3)O2)OCO1	UALIB-761	(1S,5R,7S)-7-(((4S,6S)-6-Methyl-1,3-dioxan-4-yl)methyl)-2,6-dioxabicyclo[3.3.1]nonan-3-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	AHYKKEUOAMWCHG-UHFZAUJKSA-N
COC(=O)\C=C\C[C@@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-762	(R,E)-methyl 7-((tert-butyldiphenylsilyl)oxy)-5-hydroxyhept-2-enoate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	MIZURAVKJCXGNR-FVECTHPASA-N
COC(=O)C[C@@H]1C[C@H](CCO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)O[C@@H](O1)C1=CC=CC=C1	UALIB-763	Methyl-2-((2S,4S,6S)-6-(2-((tert-butyldiphenylsilyl)oxy)ethyl)-2-phenyl-1,3-dioxan-4-yl)acetate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	CYQWSRANYDVAQA-JCGRVDTESA-N
CC(C)(C)[Si](OCC[C@H]1C[C@H](O)CC(=O)O1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-764	(4S,6S)-6-(2-((tert-Butyldiphenylsilyl)oxy)ethyl)-4-hydroxytetrahydro-2H-pyran-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	AGBADEFXDBPWOR-OALUTQOASA-N
CC(C)(C)[Si](C)(C)O[C@H]1C[C@H](CCO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)OC(=O)C1	UALIB-765	(4S,6S)-4-((tert-Butyldimethylsilyl)oxy)-6-(2-((tert-butyldiphenylsilyl)oxy)ethyl)tetrahydro-2H-pyran-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	IIQYZWLDJCGATP-ZEQRLZLVSA-N
CC(=O)OC1C[C@H](C[C@H](CCO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)O1)O[Si](C)(C)C(C)(C)C	UALIB-766	(4S,6S)-4-((tert-Butyldimethylsilyl)oxy)-6-(2-((tert-butyldiphenylsilyl)oxy)ethyl)tetrahydro-2H-pyran-2-yl acetate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	XMMSQGFRGSCTFG-QEGCZXFXSA-N
CC(C)(C)[Si](C)(C)O[C@H]1C[C@H](CCO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)O[C@@H](CC=C)C1	UALIB-767	(2-((2S,4R,6S)-6-Allyl-4-((tert-butyldimethylsilyl)oxy)tetrahydro-2H-pyran-2-yl)ethoxy)(tert-butyl)diphenylsilane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	GXZPLMMCGMOACR-HZFUHODCSA-N
[H]C(=O)C[C@H]1C[C@H](C[C@H](CCO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)O1)O[Si](C)(C)C(C)(C)C	UALIB-768	2-((2R,4S,6S)-4-((tert-Butyldimethylsilyl)oxy-6-(2-((tert-butyldiphenylsilyl)oxy)ethyl)tetrahydro-2H-pyran-2-yl)acetaldehyde	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	OYPQPMZRMMTTFI-GMQQYTKMSA-N
