DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1267	CC(C)(OC(=O)NCCC1=C[NH]C2=CC=CC=C12)C(Cl)(Cl)Cl	N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C15H17Cl3N2O2/c1-14(2,15(16,17)18)22-13(21)19-8-7-10-9-20-12-6-4-3-5-11(10)12/h3-6,9,20H,7-8H2,1-2H3,(H,19,21)	JKNIRCTUMKRFDB-UHFFFAOYSA-N	JKNIRCTUMKRFDB-UHFFFAOYSA-N	[H]N(CCC1=CN([H])C2=CC=CC=C12)C(=O)OC(C)(C)C(Cl)(Cl)Cl	TRUE
UALIB-1268	CC1=CC=C(S(=O)(=O)N2C=C(CCNC(=O)OC(C)(C)C(Cl)(Cl)Cl)C3=CC=CC=C32)C=C1	1-(p-Toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C22H23Cl3N2O4S/c1-15-8-10-17(11-9-15)32(29,30)27-14-16(18-6-4-5-7-19(18)27)12-13-26-20(28)31-21(2,3)22(23,24)25/h4-11,14H,12-13H2,1-3H3,(H,26,28)	RHHNCVUNQGWZQF-UHFFFAOYSA-N	RHHNCVUNQGWZQF-UHFFFAOYSA-N	[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C(Cl)(Cl)Cl	TRUE
UALIB-1269	CC1=CC=C(S(=O)(=O)N(CCC2=C[NH]C3=CC=CC=C23)C(=O)OC(C)(C)C(Cl)(Cl)Cl)C=C1	N-(p-Toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C22H23Cl3N2O4S/c1-15-8-10-17(11-9-15)32(29,30)27(20(28)31-21(2,3)22(23,24)25)13-12-16-14-26-19-7-5-4-6-18(16)19/h4-11,14,26H,12-13H2,1-3H3	GCOGMWWUNJIZGF-UHFFFAOYSA-N	GCOGMWWUNJIZGF-UHFFFAOYSA-N	[H]N1C=C(CCN(C(=O)OC(C)(C)C(Cl)(Cl)Cl)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	TRUE
UALIB-1270	CC1=CC=C(S(=O)(=O)N(CCC2=CN(S(=O)(=O)C3=CC=C(C)C=C3)C3=CC=CC=C23)C(=O)OC(C)(C)C(Cl)(Cl)Cl)C=C1	N,1-Bis(p-toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C29H29Cl3N2O6S2/c1-20-9-13-23(14-10-20)41(36,37)33(27(35)40-28(3,4)29(30,31)32)18-17-22-19-34(26-8-6-5-7-25(22)26)42(38,39)24-15-11-21(2)12-16-24/h5-16,19H,17-18H2,1-4H3	NYUKINBVEFMBDM-UHFFFAOYSA-N	NYUKINBVEFMBDM-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C(Cl)(Cl)Cl	TRUE
UALIB-1271	C1=CC=C(C(NCCC2=C[NH]C3=CC=CC=C23)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	N-Trityl tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C29H26N2/c1-4-12-24(13-5-1)29(25-14-6-2-7-15-25,26-16-8-3-9-17-26)31-21-20-23-22-30-28-19-11-10-18-27(23)28/h1-19,22,30-31H,20-21H2	MXECCMWWXQDAGI-UHFFFAOYSA-N	MXECCMWWXQDAGI-UHFFFAOYSA-N	[H]N(CCC1=CN([H])C2=CC=CC=C12)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1272	CC1=CC=C(S(=O)(=O)N2C=C(CCNC(C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)C3=CC=CC=C32)C=C1	1-(p-Toluenesulfonyl)-N-trityl tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C36H32N2O2S/c1-28-21-23-33(24-22-28)41(39,40)38-27-29(34-19-11-12-20-35(34)38)25-26-37-36(30-13-5-2-6-14-30,31-15-7-3-8-16-31)32-17-9-4-10-18-32/h2-24,27,37H,25-26H2,1H3	AOVGJGYYFVCYPK-UHFFFAOYSA-N	AOVGJGYYFVCYPK-UHFFFAOYSA-N	[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1273	CC1=CC=C(S(=O)(=O)N(CCC2=CN(S(=O)(=O)C3=CC=C(C)C=C3)C3=CC=CC=C23)C2=CC(=O)C3=C(C=CC=C3)C2=O)C=C1	Ditosylated 2-tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C34H28N2O6S2/c1-23-11-15-26(16-12-23)43(39,40)35(32-21-33(37)29-8-3-4-9-30(29)34(32)38)20-19-25-22-36(31-10-6-5-7-28(25)31)44(41,42)27-17-13-24(2)14-18-27/h3-18,21-22H,19-20H2,1-2H3	QNMXKTKMHAMAKH-UHFFFAOYSA-N	QNMXKTKMHAMAKH-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C1=CC(=O)C2=C(C=CC=C2)C1=O	TRUE
UALIB-1274	CC1=CC=C(S(=O)(=O)N(CCC2=C[NH]C3=CC=CC=C23)C2=CC(=O)C3=C(C=CC=C3)C2=O)C=C1	N-(p-Toluenesulfonyl)-2-tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C27H22N2O4S/c1-18-10-12-20(13-11-18)34(32,33)29(15-14-19-17-28-24-9-5-4-6-21(19)24)25-16-26(30)22-7-2-3-8-23(22)27(25)31/h2-13,16-17,28H,14-15H2,1H3	QBFRLCNRSDHIFZ-UHFFFAOYSA-N	QBFRLCNRSDHIFZ-UHFFFAOYSA-N	[H]N1C=C(CCN(C2=CC(=O)C3=C(C=CC=C3)C2=O)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	TRUE
UALIB-1275	CC1=CC=C(S(=O)(=O)N2C=C(CCNC3=CC(=O)C4=C(C=CC=C4)C3=O)C3=CC=CC=C32)C=C1	3-[2-(1,4-napthoquinonimino)ethyl]-1-(p-toluenesulfonyl)indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C27H22N2O4S/c1-18-10-12-20(13-11-18)34(32,33)29-17-19(21-6-4-5-9-25(21)29)14-15-28-24-16-26(30)22-7-2-3-8-23(22)27(24)31/h2-13,16-17,28H,14-15H2,1H3	IUEAAPLIKPZBHF-UHFFFAOYSA-N	IUEAAPLIKPZBHF-UHFFFAOYSA-N	[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C1=CC(=O)C2=C(C=CC=C2)C1=O	TRUE
UALIB-1276	COC(=O)/C(=C/C1=C(OC)C=C(OC)C(OC)=C1)N=[N+]=[N-]	Methyl 2,4,5-trimethoxy-alpha-azidocinnamate	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C13H15N3O5/c1-18-10-7-12(20-3)11(19-2)6-8(10)5-9(15-16-14)13(17)21-4/h5-7H,1-4H3/b9-5-	LHSGUCJFIQLPBI-UITAMQMPSA-N	LHSGUCJFIQLPBI-UITAMQMPSA-N	COC(=O)C(=C\C1=C(OC)C=C(OC)C(OC)=C1)\N=[N+]=[N-]	TRUE
UALIB-1277	COC(=O)C1=CC2=C(OC)C=C(OC)C(OC)=C2[NH]1	Methyl 4,6,7-trimethoxyindole-2-carboxylate	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C13H15NO5/c1-16-9-6-10(17-2)12(18-3)11-7(9)5-8(14-11)13(15)19-4/h5-6,14H,1-4H3	CCWLCFJVPRBLOT-UHFFFAOYSA-N	CCWLCFJVPRBLOT-UHFFFAOYSA-N	COC(=O)C1=CC2=C(OC)C=C(OC)C(OC)=C2N1	TRUE
UALIB-1278	COC1=CC(OC)=C2C=C(C(=O)O)[NH]C2=C1OC	4,6,7-Trimethoxyindole-2-carboxylic acid	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C12H13NO5/c1-16-8-5-9(17-2)11(18-3)10-6(8)4-7(13-10)12(14)15/h4-5,13H,1-3H3,(H,14,15)	QVCJMJQXKVYHCL-UHFFFAOYSA-N	QVCJMJQXKVYHCL-UHFFFAOYSA-N	COC1=C2C=C(NC2=C(OC)C(OC)=C1)C(O)=O	TRUE
UALIB-1279	COC1=CC(OC)=C2C=C[NH]C2=C1OC	4,6,7-Trimethoxyindole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C11H13NO3/c1-13-8-6-9(14-2)11(15-3)10-7(8)4-5-12-10/h4-6,12H,1-3H3	NXPLALMJOKMQGY-UHFFFAOYSA-N	NXPLALMJOKMQGY-UHFFFAOYSA-N	COC1=C2C=CNC2=C(OC)C(OC)=C1	TRUE
UALIB-1280	COC1=CC(OC)=C2C(C(=O)C(=O)N(CC3=CC=CC=C3)CC3=CC=CC=C3)=C[NH]C2=C1OC	N,N-Dibenzyl-4,6,7-trimethoxyindole-3-glyoxamide	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C27H26N2O5/c1-32-21-14-22(33-2)26(34-3)24-23(21)20(15-28-24)25(30)27(31)29(16-18-10-6-4-7-11-18)17-19-12-8-5-9-13-19/h4-15,28H,16-17H2,1-3H3	WYRVFICOAOLPGC-UHFFFAOYSA-N	WYRVFICOAOLPGC-UHFFFAOYSA-N	COC1=C2C(=CNC2=C(OC)C(OC)=C1)C(=O)C(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1	TRUE
UALIB-1281	COC1=CC(OC)=C2C(CCN(CC3=CC=CC=C3)CC3=CC=CC=C3)=C[NH]C2=C1OC	N,N-Dibenzyl-4,6,7-trimethoxytryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C27H30N2O3/c1-30-23-16-24(31-2)27(32-3)26-25(23)22(17-28-26)14-15-29(18-20-10-6-4-7-11-20)19-21-12-8-5-9-13-21/h4-13,16-17,28H,14-15,18-19H2,1-3H3	SFLJWMUSNWRAKL-UHFFFAOYSA-N	SFLJWMUSNWRAKL-UHFFFAOYSA-N	COC1=C2C(CCN(CC3=CC=CC=C3)CC3=CC=CC=C3)=CNC2=C(OC)C(OC)=C1	TRUE
UALIB-1282	COC1=CC(OC)=C2C(CCN(CC3=CC=CC=C3)CC3=CC=CC=C3)=CN(S(=O)(=O)C3=CC=C(C)C=C3)C2=C1OC	1-(p-Toluenesulfonyl)-4,6,7-trimethoxy-N,N-dibenzyltryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C34H36N2O5S/c1-25-15-17-29(18-16-25)42(37,38)36-24-28(32-30(39-2)21-31(40-3)34(41-4)33(32)36)19-20-35(22-26-11-7-5-8-12-26)23-27-13-9-6-10-14-27/h5-18,21,24H,19-20,22-23H2,1-4H3	LTAOAKQIUGFUHV-UHFFFAOYSA-N	LTAOAKQIUGFUHV-UHFFFAOYSA-N	COC1=C2C(CCN(CC3=CC=CC=C3)CC3=CC=CC=C3)=CN(C2=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C(C)C=C1	TRUE
UALIB-1283	COC1=CC(OC)=C2C(CCN)=CN(S(=O)(=O)C3=CC=C(C)C=C3)C2=C1OC	1-(p-Toluenesulfonyl)-4,6,7-trimethoxytryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C20H24N2O5S/c1-13-5-7-15(8-6-13)28(23,24)22-12-14(9-10-21)18-16(25-2)11-17(26-3)20(27-4)19(18)22/h5-8,11-12H,9-10,21H2,1-4H3	JAJOWCHXHHVDJI-UHFFFAOYSA-N	JAJOWCHXHHVDJI-UHFFFAOYSA-N	COC1=C2C(CCN)=CN(C2=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C(C)C=C1	TRUE
UALIB-1284	COC1=CC(OC)=C2C(CCNC(=O)OC(C)(C)C)=CN(S(=O)(=O)C3=CC=C(C)C=C3)C2=C1OC	4,6,7-Trimethoxy-3-[2-({tert-butoxycarbonyl}amino)ethyl]-1-(p-toluenesulfonyl)indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C25H32N2O7S/c1-16-8-10-18(11-9-16)35(29,30)27-15-17(12-13-26-24(28)34-25(2,3)4)21-19(31-5)14-20(32-6)23(33-7)22(21)27/h8-11,14-15H,12-13H2,1-7H3,(H,26,28)	LASMOIFPHNPJIQ-UHFFFAOYSA-N	LASMOIFPHNPJIQ-UHFFFAOYSA-N	COC1=C2C(CCNC(=O)OC(C)(C)C)=CN(C2=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C(C)C=C1	TRUE
