DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1471	CC(=O)O[C@]1(C)[C@@H](OC(=O)C2=CC=CC=C2)CCCC2=CC(=O)C[C@H]21	93d	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C20H22O5/c1-13(21)25-20(2)17-12-16(22)11-15(17)9-6-10-18(20)24-19(23)14-7-4-3-5-8-14/h3-5,7-8,11,17-18H,6,9-10,12H2,1-2H3/t17-,18+,20+/m1/s1	SIGOYJNKCIHOOD-HBFSDRIKSA-N	SIGOYJNKCIHOOD-HBFSDRIKSA-N	[H][C@@]12CC(=O)C=C1CCC[C@H](OC(=O)C1=CC=CC=C1)[C@@]2(C)OC(C)=O	TRUE
UALIB-1472	C[C@@]1(O)[C@@H](OC(=O)C2=CC=CC=C2)CCCC2=CC(=O)C[C@H]21	97b	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C18H20O4/c1-18(21)15-11-14(19)10-13(15)8-5-9-16(18)22-17(20)12-6-3-2-4-7-12/h2-4,6-7,10,15-16,21H,5,8-9,11H2,1H3/t15-,16+,18+/m1/s1	OWFSBZKYDPKOFC-RYRKJORJSA-N	OWFSBZKYDPKOFC-RYRKJORJSA-N	[H][C@@]12CC(=O)C=C1CCC[C@H](OC(=O)C1=CC=CC=C1)[C@@]2(C)O	TRUE
UALIB-1473	COC(=O)[C@@H]1C[C@@]2(C)C(=CC1=O)CC[C@@H]2OC(=O)C1=CC=CC=C1	106	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C19H20O5/c1-19-11-14(18(22)23-2)15(20)10-13(19)8-9-16(19)24-17(21)12-6-4-3-5-7-12/h3-7,10,14,16H,8-9,11H2,1-2H3/t14-,16+,19+/m1/s1	HLJCMBWUWFTIND-ALKREAHSSA-N	HLJCMBWUWFTIND-ALKREAHSSA-N	COC(=O)[C@@H]1C[C@]2(C)[C@H](CCC2=CC1=O)OC(=O)C1=CC=CC=C1	TRUE
UALIB-1474	COC(=O)C1=C[C@@]2(C)C(=CC1=O)CC[C@@H]2OC(=O)C1=CC=CC=C1	107	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C19H18O5/c1-19-11-14(18(22)23-2)15(20)10-13(19)8-9-16(19)24-17(21)12-6-4-3-5-7-12/h3-7,10-11,16H,8-9H2,1-2H3/t16-,19-/m0/s1	REXDLOWEPPETNI-LPHOPBHVSA-N	REXDLOWEPPETNI-LPHOPBHVSA-N	COC(=O)C1=C[C@]2(C)[C@H](CCC2=CC1=O)OC(=O)C1=CC=CC=C1	TRUE
UALIB-1475	COC(=O)[C@H]1C(=O)C=C2CC[C@H](OC(=O)C3=CC=CC=C3)[C@@](C)(OC(C)=O)[C@@H]21	108	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C21H22O7/c1-12(22)28-21(2)16(27-19(24)13-7-5-4-6-8-13)10-9-14-11-15(23)17(18(14)21)20(25)26-3/h4-8,11,16-18H,9-10H2,1-3H3/t16-,17-,18-,21+/m0/s1	HMNPCBLXIOFZMP-RYLXDESZSA-N	HMNPCBLXIOFZMP-RYLXDESZSA-N	[H][C@@]12[C@@H](C(=O)OC)C(=O)C=C1CC[C@H](OC(=O)C1=CC=CC=C1)[C@@]2(C)OC(C)=O	TRUE
UALIB-1476	COC(=O)[C@H]1C(=O)C=C2CC[C@H](OC(=O)C3=CC=CC=C3)[C@@](C)(O)[C@@H]21	109	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C19H20O6/c1-19(23)14(25-17(21)11-6-4-3-5-7-11)9-8-12-10-13(20)15(16(12)19)18(22)24-2/h3-7,10,14-16,23H,8-9H2,1-2H3/t14-,15-,16-,19+/m0/s1	PMFQEMSXTQOKMW-IUVQAAGXSA-N	PMFQEMSXTQOKMW-IUVQAAGXSA-N	[H][C@@]12[C@@H](C(=O)OC)C(=O)C=C1CC[C@H](OC(=O)C1=CC=CC=C1)[C@@]2(C)O	TRUE
UALIB-1477	C[C@@]1(O)[C@@H](OCOCC[Si](C)(C)C)CCC2=CC(=O)C[C@H]21	111	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C16H28O4Si/c1-16(18)14-10-13(17)9-12(14)5-6-15(16)20-11-19-7-8-21(2,3)4/h9,14-15,18H,5-8,10-11H2,1-4H3/t14-,15+,16+/m1/s1	PVBZFNOWSXBOFU-PMPSAXMXSA-N	PVBZFNOWSXBOFU-PMPSAXMXSA-N	[H][C@@]12CC(=O)C=C1CC[C@H](OCOCC[Si](C)(C)C)[C@@]2(C)O	TRUE
UALIB-1478	C[C@]12CCC(=O)C=C1CC[C@H]2OC(=O)C1=CC=CC=C1	114b	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H18O3/c1-17-10-9-14(18)11-13(17)7-8-15(17)20-16(19)12-5-3-2-4-6-12/h2-6,11,15H,7-10H2,1H3/t15-,17+/m1/s1	JYQRKKRFLJUJIV-WBVHZDCISA-N	JYQRKKRFLJUJIV-WBVHZDCISA-N	C[C@]12CCC(=O)C=C1CC[C@H]2OC(=O)C1=CC=CC=C1	TRUE
UALIB-1479	C[C@]12CCC(=O)C=C1CC[C@H]2OC(=O)C1=CC=C([N+](=O)[O-])C=C1	114f	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H17NO5/c1-17-9-8-14(19)10-12(17)4-7-15(17)23-16(20)11-2-5-13(6-3-11)18(21)22/h2-3,5-6,10,15H,4,7-9H2,1H3/t15-,17+/m1/s1	YTSIVQMPCGATJV-WBVHZDCISA-N	YTSIVQMPCGATJV-WBVHZDCISA-N	C[C@]12CCC(=O)C=C1CC[C@H]2OC(=O)C1=CC=C(C=C1)[N+]([O-])=O	TRUE
UALIB-1480	C[C@]12CCC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=C([N+](=O)[O-])C=C1	74m	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H17NO5/c1-17-9-8-14(19)10-12(17)4-7-15(17)23-16(20)11-2-5-13(6-3-11)18(21)22/h2-3,5-6,10,15H,4,7-9H2,1H3/t15-,17-/m0/s1	YTSIVQMPCGATJV-RDJZCZTQSA-N	YTSIVQMPCGATJV-RDJZCZTQSA-N	C[C@]12CCC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=C(C=C1)[N+]([O-])=O	TRUE
