DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2291	C=C(C)[C@@H]1C/C=C(/C)CCCC(C)(SC2=CC=CC=C2)C(=O)C1	32	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C21H28OS/c1-16(2)18-13-12-17(3)9-8-14-21(4,20(22)15-18)23-19-10-6-5-7-11-19/h5-7,10-12,18H,1,8-9,13-15H2,2-4H3/b17-12-/t18-,21?/m1/s1	RLPYUIWATWWKDQ-VRATYNTCSA-N	RLPYUIWATWWKDQ-VRATYNTCSA-N	CC(=C)[C@@H]1C\C=C(C)/CCCC(C)(SC2=CC=CC=C2)C(=O)C1	TRUE
UALIB-2292	C=C(C)[C@@H]1C/C=C(/C)CCCOC(=C(C)SC2=CC=CC=C2)C1	73	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C21H28OS/c1-16(2)19-13-12-17(3)9-8-14-22-21(15-19)18(4)23-20-10-6-5-7-11-20/h5-7,10-12,19H,1,8-9,13-15H2,2-4H3/b17-12-,21-18?/t19-/m1/s1	QKIRBLCZMPEVHS-QQYYLOQESA-N	QKIRBLCZMPEVHS-QQYYLOQESA-N	CC(=C)[C@@H]1C\C=C(C)/CCCOC(C1)=C(C)SC1=CC=CC=C1	TRUE
UALIB-2293	C=C(C)[C@@H]1C/C=C(/C)CCCC(C)(S(=O)C2=CC=CC=C2)C(=O)C1	75	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C21H28O2S/c1-16(2)18-13-12-17(3)9-8-14-21(4,20(22)15-18)24(23)19-10-6-5-7-11-19/h5-7,10-12,18H,1,8-9,13-15H2,2-4H3/b17-12-/t18-,21?,24?/m1/s1	UZUCSULNHSLEHN-WVDRIKFDSA-N	UZUCSULNHSLEHN-WVDRIKFDSA-N	CC(=C)[C@@H]1C\C=C(C)/CCCC(C)(C(=O)C1)S(=O)C1=CC=CC=C1	TRUE
UALIB-2294	C=C(C)[C@@H]1C/C=C(/C)CC/C=C(\C)C(=O)C1	76	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H22O/c1-11(2)14-9-8-12(3)6-5-7-13(4)15(16)10-14/h7-8,14H,1,5-6,9-10H2,2-4H3/b12-8-,13-7+/t14-/m1/s1	AQRVJZUDCIHTDW-ZTFYJHKQSA-N	AQRVJZUDCIHTDW-ZTFYJHKQSA-N	CC(=C)[C@@H]1C\C=C(C)/CC\C=C(C)\C(=O)C1	TRUE
UALIB-2295	C=C(C)[C@H]1C/C=C(/C)CCCC2=C(C1)OCC1(CCC/C(C)=C\C[C@@H](C(=C)C)CC1=O)C2	78	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C30H44O2/c1-21(2)25-14-12-23(5)9-7-11-27-19-30(20-32-28(27)17-25)16-8-10-24(6)13-15-26(22(3)4)18-29(30)31/h12-13,25-26H,1,3,7-11,14-20H2,2,4-6H3/b23-12-,24-13-/t25-,26+,30?/m0/s1	YYFLXRKFUFVJBL-RDXGRFCESA-N	YYFLXRKFUFVJBL-RDXGRFCESA-N	CC(=C)[C@H]1C\C=C(C)/CCCC2=C(C1)OCC1(C2)CCC\C(C)=C/C[C@H](CC1=O)C(C)=C	TRUE
UALIB-2296	C=C(C)[C@@H]1C/C=C(/C)CC/C=C(\C)C(O)C1	79	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24O/c1-11(2)14-9-8-12(3)6-5-7-13(4)15(16)10-14/h7-8,14-16H,1,5-6,9-10H2,2-4H3/b12-8-,13-7+/t14-,15?/m1/s1	TUSSVJOOGSTKCR-WXKJXNFNSA-N	TUSSVJOOGSTKCR-WXKJXNFNSA-N	CC(=C)[C@@H]1C\C=C(C)/CC\C=C(C)\C(O)C1	TRUE
UALIB-2297	C=C(C)[C@H]1CC=C(C)C2CC=C(C)C2C1	80	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H22/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h5-6,13-15H,1,7-9H2,2-4H3/t13-,14?,15?/m0/s1	ASYMEYWVYNGPCG-NFOMZHRRSA-N	ASYMEYWVYNGPCG-NFOMZHRRSA-N	CC(=C)[C@H]1CC=C(C)C2CC=C(C)C2C1	TRUE
UALIB-2298	C=C(C)C1C/C=C(/C)CCC/C(C)=C\C1	81	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24/c1-12(2)15-10-8-13(3)6-5-7-14(4)9-11-15/h8-9,15H,1,5-7,10-11H2,2-4H3/b13-8-,14-9-	OKCOTLBUFDUTPV-QKPPEBSVSA-N	OKCOTLBUFDUTPV-QKPPEBSVSA-N	CC(=C)C1C\C=C(C)/CCC\C(C)=C/C1	TRUE
UALIB-2299	C=C(C)[C@@H]1C/C=C(/C)CCCC(C)(SC2=CC=CC=C2)C(O)C1	82 (non specific mixture)	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C21H30OS/c1-16(2)18-13-12-17(3)9-8-14-21(4,20(22)15-18)23-19-10-6-5-7-11-19/h5-7,10-12,18,20,22H,1,8-9,13-15H2,2-4H3/b17-12-/t18-,20?,21?/m1/s1	CFFXPIISSDQSHM-SFCFLULUSA-N	CFFXPIISSDQSHM-SFCFLULUSA-N	CC(=C)[C@@H]1C\C=C(C)/CCCC(C)(SC2=CC=CC=C2)C(O)C1	TRUE
UALIB-2300	C=C(C)[C@H]1C/C=C(/C)CC/C=C(/C)C(O)C1	84	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24O/c1-11(2)14-9-8-12(3)6-5-7-13(4)15(16)10-14/h7-8,14-16H,1,5-6,9-10H2,2-4H3/b12-8-,13-7-/t14-,15?/m0/s1	TUSSVJOOGSTKCR-OFGNQOIWSA-N	TUSSVJOOGSTKCR-OFGNQOIWSA-N	CC(=C)[C@H]1C\C=C(C)/CC\C=C(C)/C(O)C1	TRUE
UALIB-2301	C=C1CCC/C(C)=C\C[C@@H](C(=C)C)CC1O	83	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24O/c1-11(2)14-9-8-12(3)6-5-7-13(4)15(16)10-14/h8,14-16H,1,4-7,9-10H2,2-3H3/b12-8-/t14-,15?/m1/s1	AXJWOHDCPRYCDC-KASBPMTRSA-N	AXJWOHDCPRYCDC-KASBPMTRSA-N	CC(=C)[C@@H]1C\C=C(C)/CCCC(=C)C(O)C1	TRUE
UALIB-2302	C=C(C)[C@H](C/C=C(/C)CCCOC1CCCCO1)CC(O)C(C)SC1=CC=CC=C1	85 (non specific mixture)	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C26H40O3S/c1-20(2)23(19-25(27)22(4)30-24-12-6-5-7-13-24)16-15-21(3)11-10-18-29-26-14-8-9-17-28-26/h5-7,12-13,15,22-23,25-27H,1,8-11,14,16-19H2,2-4H3/b21-15-/t22?,23-,25?,26?/m1/s1	CYLBQHFNEPSOEX-MMORNNNYSA-N	CYLBQHFNEPSOEX-MMORNNNYSA-N	CC(SC1=CC=CC=C1)C(O)C[C@@H](C\C=C(\C)CCCOC1CCCCO1)C(C)=C	TRUE
UALIB-2303	C=C(C)[C@H](C/C=C(/C)CCCOC1CCCCO1)CC(SC1=CC=CC=C1)C(C)Cl	87	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C26H39ClO2S/c1-20(2)23(19-25(22(4)27)30-24-12-6-5-7-13-24)16-15-21(3)11-10-18-29-26-14-8-9-17-28-26/h5-7,12-13,15,22-23,25-26H,1,8-11,14,16-19H2,2-4H3/b21-15-/t22?,23-,25?,26?/m1/s1	RWWWMDYXAFRZRG-MMORNNNYSA-N	RWWWMDYXAFRZRG-MMORNNNYSA-N	CC(Cl)C(C[C@@H](C\C=C(\C)CCCOC1CCCCO1)C(C)=C)SC1=CC=CC=C1	TRUE
UALIB-2304	C=C(C)[C@H](C/C=C(/C)CCCOC1CCCCO1)CC(=CC)SC1=CC=CC=C1	88	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C26H38O2S/c1-5-24(29-25-13-7-6-8-14-25)20-23(21(2)3)17-16-22(4)12-11-19-28-26-15-9-10-18-27-26/h5-8,13-14,16,23,26H,2,9-12,15,17-20H2,1,3-4H3/b22-16-,24-5?/t23-,26?/m1/s1	NOXHMTDUTXLPJM-BYSODDSWSA-N	NOXHMTDUTXLPJM-BYSODDSWSA-N	CC=C(C[C@@H](C\C=C(\C)CCCOC1CCCCO1)C(C)=C)SC1=CC=CC=C1	TRUE
UALIB-2305	C=C(C)[C@H](C/C=C(/C)CCCO)CC(=O)CC	89	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H26O2/c1-5-15(17)11-14(12(2)3)9-8-13(4)7-6-10-16/h8,14,16H,2,5-7,9-11H2,1,3-4H3/b13-8-/t14-/m1/s1	CTWGARAOGWYBOX-YLHGKKIISA-N	CTWGARAOGWYBOX-YLHGKKIISA-N	CCC(=O)C[C@@H](C\C=C(\C)CCCO)C(C)=C	TRUE
