DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS Match?
UALIB-349	CC/C=C(\C)[C@](C)(C1OCCO1)[C@@H](OCC1=CC=C(OC)C=C1)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	(2R,3R,4R)-3-(4-Methoxybenzyloxy)-4-(2,5-dioxolanyl)-4,5-dimethyl-1,2-bis(triisopropylsilyloxy)-5(E)-octene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C39H72O6Si2/c1-17-18-33(14)39(15,38-41-23-24-42-38)37(43-25-34-19-21-35(40-16)22-20-34)36(45-47(30(8)9,31(10)11)32(12)13)26-44-46(27(2)3,28(4)5)29(6)7/h18-22,27-32,36-38H,17,23-26H2,1-16H3/b33-18+/t36-,37+,39+/m1/s1	GDYGPDDHTAFTDK-GMVBGBJESA-N	GDYGPDDHTAFTDK-GMVBGBJESA-N	CC\C=C(/C)[C@@](C)([C@@H](OCC1=CC=C(OC)C=C1)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C)C1OCCO1	TRUE
UALIB-350	CC/C=C(\C)C(C)(C1OCCO1)[C@@H](OCC1=CC=C(OC)C=C1)[C@H](O)CO	(2R,3R,4R)-3-(4-Methoxybenzyloxy)-4-(2,5-dioxolanyl)-4,5-dimethyloct-5(E)-ene-1,2-diol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C21H32O6/c1-5-6-15(2)21(3,20-25-11-12-26-20)19(18(23)13-22)27-14-16-7-9-17(24-4)10-8-16/h6-10,18-20,22-23H,5,11-14H2,1-4H3/b15-6+/t18-,19+,21?/m1/s1	KRUXIVHSIPAVCG-LBPIHCLOSA-N	KRUXIVHSIPAVCG-LBPIHCLOSA-N	CC\C=C(/C)C(C)([C@@H](OCC1=CC=C(OC)C=C1)[C@H](O)CO)C1OCCO1	TRUE
UALIB-351	CC/C=C(\C)[C@]1(C)[C@@H](OC)O[C@H](CO)[C@@H]1OCC1=CC=C(OC)C=C1	(2R,3R,4R,5R)-2-Methoxy-4-(4-methoxybenzyloxy)-3-[1-methyl-1(E)-butenyl]-5-(hydroxymethyl)oxolane	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C20H30O5/c1-6-7-14(2)20(3)18(17(12-21)25-19(20)23-5)24-13-15-8-10-16(22-4)11-9-15/h7-11,17-19,21H,6,12-13H2,1-5H3/b14-7+/t17-,18+,19+,20+/m1/s1	WNLRSZBCCHMGND-JFVQNFPGSA-N	WNLRSZBCCHMGND-JFVQNFPGSA-N	CC\C=C(/C)[C@]1(C)[C@@H](OC)O[C@H](CO)[C@@H]1OCC1=CC=C(OC)C=C1	TRUE
UALIB-352	CC/C=C(\C)[C@]1(C)[C@@H](OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	(2R,3R,4R,5R)-2-Methoxy-4-(4-methoxybenzyloxy)-3-methyl-3-[1-methyl-1(E)-butenyl]-5-(tr-iisopropylsilyloxymethyl)oxolane	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C29H50O5Si/c1-12-13-23(8)29(9)27(32-18-24-14-16-25(30-10)17-15-24)26(34-28(29)31-11)19-33-35(20(2)3,21(4)5)22(6)7/h13-17,20-22,26-28H,12,18-19H2,1-11H3/b23-13+/t26-,27+,28+,29+/m1/s1	CHGRFQWEMSYHIE-JUAQOTLBSA-N	CHGRFQWEMSYHIE-JUAQOTLBSA-N	CC\C=C(/C)[C@]1(C)[C@@H](OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	TRUE
UALIB-353	CC/C=C(\C)[C@]1(C)[C@@H](OC)O[C@H](COC(C)=O)[C@@H]1OCC1=CC=C(OC)C=C1	(1R,3R,4R,5R)-5-(4-Methoxybenzyloxy)-4-methyl-4-[1-methyl-1(E)-butenyl]-(3-methoxy-2-oxolanyl)methyl acetate	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C22H32O6/c1-7-8-15(2)22(4)20(19(14-26-16(3)23)28-21(22)25-6)27-13-17-9-11-18(24-5)12-10-17/h8-12,19-21H,7,13-14H2,1-6H3/b15-8+/t19-,20+,21+,22+/m1/s1	SFXCOHSMBXTYSG-JLAHRVLXSA-N	SFXCOHSMBXTYSG-JLAHRVLXSA-N	CC\C=C(/C)[C@]1(C)[C@@H](OC)O[C@H](COC(C)=O)[C@@H]1OCC1=CC=C(OC)C=C1	TRUE
UALIB-354	CC[C@@H](O)[C@](C)(O)[C@]1(C)C(OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	(2R,3R,4R,5R)-2-Methoxy-4-(4-methoxybenzyloxy)-3-methyl-[(1S,2R)-dihydroxy-1-me-thylbutyl]-5-(triisopropylsilyloxymethyl)oxolane	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C29H52O7Si/c1-12-25(30)29(9,31)28(8)26(34-17-22-13-15-23(32-10)16-14-22)24(36-27(28)33-11)18-35-37(19(2)3,20(4)5)21(6)7/h13-16,19-21,24-27,30-31H,12,17-18H2,1-11H3/t24-,25-,26+,27?,28+,29+/m1/s1	WLYMSUSUGNZDEU-IRYMRMPPSA-N	WLYMSUSUGNZDEU-IRYMRMPPSA-N	CC[C@@H](O)[C@](C)(O)[C@]1(C)C(OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	TRUE
UALIB-355	CC[C@@H](O)[C@](C)(O)[C@]1(C)C(OC)O[C@H](COC(C)=O)[C@@H]1OCC1=CC=C(OC)C=C1	(2R,3R,4R,5R)-5-(4-Methoxybenzyloxy)-4-[(1S,2R)-1,2-dihydroxy-1-methylbutyl]-(3-methoxy-2-oxolanyl)methyl acetate	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C22H34O8/c1-7-18(24)22(4,25)21(3)19(17(13-28-14(2)23)30-20(21)27-6)29-12-15-8-10-16(26-5)11-9-15/h8-11,17-20,24-25H,7,12-13H2,1-6H3/t17-,18-,19+,20?,21+,22+/m1/s1	UQTCIUXVCHILPV-FATYJBIOSA-N	UQTCIUXVCHILPV-FATYJBIOSA-N	CC[C@@H](O)[C@](C)(O)[C@]1(C)C(OC)O[C@H](COC(C)=O)[C@@H]1OCC1=CC=C(OC)C=C1	TRUE
UALIB-356	CC[C@H]1O[C@@H]2O[C@H](CO)[C@H](OCC3=CC=C(OC)C=C3)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-1,2-Dimethyl-3-ethyl-7-(hydroxymethyl)-8-(4-methoxybenzyloxy)-4,6-dioxabicylo[3.3.0]octan-2-ol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C19H28O6/c1-5-15-19(3,21)18(2)16(14(10-20)24-17(18)25-15)23-11-12-6-8-13(22-4)9-7-12/h6-9,14-17,20-21H,5,10-11H2,1-4H3/t14-,15-,16+,17+,18+,19+/m1/s1	FJMBACBREIMOIP-SVMUCYCZSA-N	FJMBACBREIMOIP-SVMUCYCZSA-N	[H][C@@]12O[C@H](CO)[C@H](OCC3=CC=C(OC)C=C3)[C@]1(C)[C@@](C)(O)[C@@H](CC)O2	TRUE
UALIB-357	CC[C@H]1O[C@@H]2O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC3=CC=C(OC)C=C3)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-1,2-Dimethyl-3-ethyl-7-(triisopropylsilyloxymethyl)-8-(4-methoxybenzyloxy)-4,6-dioxabicylo[3.3.0]octan-2-ol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C28H48O6Si/c1-11-24-28(9,29)27(8)25(31-16-21-12-14-22(30-10)15-13-21)23(33-26(27)34-24)17-32-35(18(2)3,19(4)5)20(6)7/h12-15,18-20,23-26,29H,11,16-17H2,1-10H3/t23-,24-,25+,26+,27+,28+/m1/s1	RUMSRSAEYCHNJY-WEHOJLIUSA-N	RUMSRSAEYCHNJY-WEHOJLIUSA-N	[H][C@@]12O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC3=CC=C(OC)C=C3)[C@]1(C)[C@@](C)(O)[C@@H](CC)O2	TRUE
UALIB-358	CC[C@H]1O[C@@H]2O[C@H](COC(C)=O)[C@H](OCC3=CC=C(OC)C=C3)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-1,8-Dimethyl-2-(4-methoxybenzyloxy)-7-ethyl-8-hydroxy-4,6-(dioxabicycylo[3.3.0]oct-3-yl)methyl acetate	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C21H30O7/c1-6-17-21(4,23)20(3)18(16(12-25-13(2)22)27-19(20)28-17)26-11-14-7-9-15(24-5)10-8-14/h7-10,16-19,23H,6,11-12H2,1-5H3/t16-,17-,18+,19+,20+,21+/m1/s1	WNXYUEZHKBMUCG-OFELHODLSA-N	WNXYUEZHKBMUCG-OFELHODLSA-N	[H][C@@]12O[C@H](COC(C)=O)[C@H](OCC3=CC=C(OC)C=C3)[C@]1(C)[C@@](C)(O)[C@@H](CC)O2	TRUE
UALIB-359	CC[C@@H](O)[C@](C)(O)[C@](C)(C1OCCO1)[C@@H](OCC1=CC=C(OC)C=C1)[C@H](O)CO	(2R,3R,4R,5S,6R)-3-(4-Methoxybenzyloxy)-4-(2,5-dioxolanyl)-4,5-dimethyloct-1,2,5,6-tetrol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C21H34O8/c1-5-17(24)21(3,25)20(2,19-27-10-11-28-19)18(16(23)12-22)29-13-14-6-8-15(26-4)9-7-14/h6-9,16-19,22-25H,5,10-13H2,1-4H3/t16-,17-,18+,20+,21+/m1/s1	NHILIZCTMUWPPB-SACAXFFCSA-N	NHILIZCTMUWPPB-SACAXFFCSA-N	CC[C@@H](O)[C@](C)(O)[C@@](C)([C@@H](OCC1=CC=C(OC)C=C1)[C@H](O)CO)C1OCCO1	TRUE
UALIB-360	CCOC(=O)/C=C/[C@H]1O[C@H]2O[C@H](CC)[C@](C)(O)[C@@]2(C)[C@H]1OCC1=CC=C(OC)C=C1	(1R,2R,3R,5R,7R,8R)-Ethyl-3-{7-ethyl-1,8-dimethyl-8-hydroxy-2-(4-methoxybenzyloxy)-4,6-dioxabicyclo[3.3.0]oct-3-yl}prop-2-enoate	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C23H32O7/c1-6-18-23(4,25)22(3)20(28-14-15-8-10-16(26-5)11-9-15)17(29-21(22)30-18)12-13-19(24)27-7-2/h8-13,17-18,20-21,25H,6-7,14H2,1-5H3/b13-12+/t17-,18-,20+,21+,22+,23+/m1/s1	OTTCKLPAEGUVAC-RDWFGQBOSA-N	OTTCKLPAEGUVAC-RDWFGQBOSA-N	[H][C@]12O[C@H](CC)[C@](C)(O)[C@@]1(C)[C@@H](OCC1=CC=C(OC)C=C1)[C@H](O2)\C=C\C(=O)OCC	TRUE
UALIB-361	CC[C@H]1O[C@@H]2O[C@H](/C=C/CO)[C@H](OCC3=CC=C(OC)C=C3)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-7-Ethyl-2-(4-methoxybenzyloxy)-3-(3-hydroxyprop-1-enyl)-1,8-dimethyl-4,6-dioxabicyclo[3.3.0]octane-8-ol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C21H30O6/c1-5-17-21(3,23)20(2)18(16(7-6-12-22)26-19(20)27-17)25-13-14-8-10-15(24-4)11-9-14/h6-11,16-19,22-23H,5,12-13H2,1-4H3/b7-6+/t16-,17-,18+,19+,20+,21+/m1/s1	OPVUEDZXQAIKHE-AGPSSVMHSA-N	OPVUEDZXQAIKHE-AGPSSVMHSA-N	[H][C@]12O[C@H](CC)[C@](C)(O)[C@@]1(C)[C@@H](OCC1=CC=C(OC)C=C1)[C@H](O2)\C=C\CO	TRUE
UALIB-362	CC[C@H]1O[C@@H]2O[C@H](/C=C/CO)[C@H](O)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-3-Ethyl-7-(3-hydroxyprop-1-enyl)-1,2-dimethyl-4,6-dioxabicyclo[3.3.0]octane-2,8-diol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C13H22O5/c1-4-9-13(3,16)12(2)10(15)8(6-5-7-14)17-11(12)18-9/h5-6,8-11,14-16H,4,7H2,1-3H3/b6-5+/t8-,9-,10+,11+,12+,13+/m1/s1	KPPQTXQSUHNEGW-QKIHEREWSA-N	KPPQTXQSUHNEGW-QKIHEREWSA-N	[H][C@@]12O[C@H](\C=C\CO)[C@H](O)[C@]1(C)[C@@](C)(O)[C@@H](CC)O2	TRUE
UALIB-363	CC[C@H]1O[C@@H]2O[C@H](/C=C/C=O)[C@H](O)[C@]2(C)[C@@]1(C)O	(1R,2R,3R,5R,7R,8R)-3-(7-Ethyl-2,8-dihydroxy-1,8-dimethyl-4,6-dioxabicyclo[3.3.0]oct-3-yl)prop-2-enal	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C13H20O5/c1-4-9-13(3,16)12(2)10(15)8(6-5-7-14)17-11(12)18-9/h5-11,15-16H,4H2,1-3H3/b6-5+/t8-,9-,10+,11+,12+,13+/m1/s1	MPSPKMVEQZMULG-QKIHEREWSA-N	MPSPKMVEQZMULG-QKIHEREWSA-N	[H]C(=O)\C=C\[C@H]1O[C@@]2([H])O[C@H](CC)[C@](C)(O)[C@@]2(C)[C@H]1O	TRUE
UALIB-364	CC[C@H]1O[C@@H]2O[C@H](/C=C/C=C/C=C/C3=C(C)C(OC)=CC(=O)O3)[C@H](O)[C@]2(C)[C@@]1(C)O	(+)-asteltoxin	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C23H30O7/c1-6-18-23(4,26)22(3)20(25)16(29-21(22)30-18)12-10-8-7-9-11-15-14(2)17(27-5)13-19(24)28-15/h7-13,16,18,20-21,25-26H,6H2,1-5H3/b8-7+,11-9+,12-10+/t16-,18-,20+,21+,22+,23+/m1/s1	GPXPJKFETRLRAS-AHUKKWBBSA-N	GPXPJKFETRLRAS-AHUKKWBBSA-N	[H][C@]12O[C@H](CC)[C@](C)(O)[C@@]1(C)[C@@H](O)[C@H](O2)\C=C\C=C\C=C\C1=C(C)C(OC)=CC(=O)O1	TRUE
