DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1222	C=CCC1=C(OC)C=C(C)C=C1C/C=C/[Si](C)(C)C	((E)-3-(2-Allyl-3-methoxy-5-methylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H26OSi/c1-7-9-16-15(10-8-11-19(4,5)6)12-14(2)13-17(16)18-3/h7-8,11-13H,1,9-10H2,2-6H3/b11-8+	YTLYXXKYTOGWBC-DHZHZOJOSA-N	YTLYXXKYTOGWBC-DHZHZOJOSA-N	COC1=C(CC=C)C(C\C=C\[Si](C)(C)C)=CC(C)=C1	TRUE
UALIB-1223	C=CCC1=CC=CC=C1C/C=C/[Si](C)(C)C	((E)-3-(2-Allylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C15H22Si/c1-5-9-14-10-6-7-11-15(14)12-8-13-16(2,3)4/h5-8,10-11,13H,1,9,12H2,2-4H3/b13-8+	NBCYZCSZVCBGBX-MDWZMJQESA-N	NBCYZCSZVCBGBX-MDWZMJQESA-N	C[Si](C)(C)\C=C\CC1=CC=CC=C1CC=C	TRUE
UALIB-1224	COC1=C(O)C(C/C=C/[Si](C)(C)C)=CC=C1	2-Methoxy-6-((E)-3-(trimethylsilyl)allyl)phenol	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C13H20O2Si/c1-15-12-9-5-7-11(13(12)14)8-6-10-16(2,3)4/h5-7,9-10,14H,8H2,1-4H3/b10-6+	IMWGJYIWHFCJNT-UXBLZVDNSA-N	IMWGJYIWHFCJNT-UXBLZVDNSA-N	COC1=C(O)C(C\C=C\[Si](C)(C)C)=CC=C1	TRUE
UALIB-1225	CCOC(=O)C1=C(OC)C=CC=C1C/C=C/[Si](C)(C)C	Ethyl 2-methoxy-6-((E)-3-(trimethylsilyl)allyl)benzoate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C16H24O3Si/c1-6-19-16(17)15-13(9-7-11-14(15)18-2)10-8-12-20(3,4)5/h7-9,11-12H,6,10H2,1-5H3/b12-8+	QLXDAHAZOVZSIH-XYOKQWHBSA-N	QLXDAHAZOVZSIH-XYOKQWHBSA-N	CCOC(=O)C1=C(OC)C=CC=C1C\C=C\[Si](C)(C)C	TRUE
UALIB-1226	CCOC(=O)C1=C(OC)C=C(OC)C=C1C/C=C/[Si](C)(C)C	Ethyl 2,4-dimethoxy-6-((E)-3-(trimethylsilyl)allyl)benzoate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H26O4Si/c1-7-21-17(18)16-13(9-8-10-22(4,5)6)11-14(19-2)12-15(16)20-3/h8,10-12H,7,9H2,1-6H3/b10-8+	IYQWOKGVAORWES-CSKARUKUSA-N	IYQWOKGVAORWES-CSKARUKUSA-N	CCOC(=O)C1=C(OC)C=C(OC)C=C1C\C=C\[Si](C)(C)C	TRUE
UALIB-1227	CCOC(=O)C1=C(OC)C=C(C)C=C1C/C=C/[Si](C)(C)C	Ethyl 2-methoxy-4-methyl-6-((E)-3-(trimethylsilyl)allyl)benzoate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H26O3Si/c1-7-20-17(18)16-14(9-8-10-21(4,5)6)11-13(2)12-15(16)19-3/h8,10-12H,7,9H2,1-6H3/b10-8+	VBHHNZHDIYAGHC-CSKARUKUSA-N	VBHHNZHDIYAGHC-CSKARUKUSA-N	CCOC(=O)C1=C(OC)C=C(C)C=C1C\C=C\[Si](C)(C)C	TRUE
UALIB-1228	CCOC(=O)C1=CC=CC=C1C/C=C/[Si](C)(C)C	Ethyl 2-((E)-3-(trimethylsilyl)allyl)benzoate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C15H22O2Si/c1-5-17-15(16)14-11-7-6-9-13(14)10-8-12-18(2,3)4/h6-9,11-12H,5,10H2,1-4H3/b12-8+	MMEICCPLOJEQMV-XYOKQWHBSA-N	MMEICCPLOJEQMV-XYOKQWHBSA-N	CCOC(=O)C1=CC=CC=C1C\C=C\[Si](C)(C)C	TRUE
UALIB-1229	O=C1C[C@H](C(Cl)(Cl)Cl)O1	(R)-4-trichloromethyl-2-oxetanone	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C4H3Cl3O2/c5-4(6,7)2-1-3(8)9-2/h2H,1H2/t2-/m1/s1	CPNBMBBRKINRNE-UWTATZPHSA-N	CPNBMBBRKINRNE-UWTATZPHSA-N	ClC(Cl)(Cl)[C@H]1CC(=O)O1	TRUE
UALIB-1230	O=C(C[C@@H](O)C(Cl)(Cl)Cl)C1=CC=CO1	(R)-4,4,4-Trichloro-1-furan-2-yl-3-hydroxy-butan-1-one	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C8H7Cl3O3/c9-8(10,11)7(13)4-5(12)6-2-1-3-14-6/h1-3,7,13H,4H2/t7-/m1/s1	WJYNWTUZYXQLTB-SSDOTTSWSA-N	WJYNWTUZYXQLTB-SSDOTTSWSA-N	O[C@H](CC(=O)C1=CC=CO1)C(Cl)(Cl)Cl	TRUE
UALIB-1231	O=C(C[C@@H](O)C(Cl)(Cl)Cl)C1=CC=CS1	(R)-4,4,4-Trichloro-3-hydroxy-1-(thiophen-2-yl)butan-1-one	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C8H7Cl3O2S/c9-8(10,11)7(13)4-5(12)6-2-1-3-14-6/h1-3,7,13H,4H2/t7-/m1/s1	MCNZLNQVNJNHTC-SSDOTTSWSA-N	MCNZLNQVNJNHTC-SSDOTTSWSA-N	O[C@H](CC(=O)C1=CC=CS1)C(Cl)(Cl)Cl	TRUE
