SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018	Notes
C1C[C@]2([C@]3(C(=O)[C@@]([C@@]1(C21CC1)[H])(CCC3)[H])[H])[H]	UALIB-2823	84	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MYTXDSLTOPLNDQ-DTIDVZRVSA-N	InChI=1S/C13H18O/c14-12-8-2-1-3-9(12)11-5-4-10(8)13(11)6-7-13/h8-11H,1-7H2/t8-,9+,10-,11+	
C1C[C@]2([C@]3(C(=O)[C@@]([C@@]1(C2(C)C)[H])(CCC3)[H])[H])[H]	UALIB-2824	85	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	NIZXDYMJYZPRSJ-DTIDVZRVSA-N	InChI=1S/C13H20O/c1-13(2)10-6-7-11(13)9-5-3-4-8(10)12(9)14/h8-11H,3-7H2,1-2H3/t8-,9+,10-,11+	
[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@@](C3)(O[Si](C)(C)C(C)(C)C)[H])[H])=O)[H])(C11CC1)[H])[H].[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@](C3)(O[Si](C)(C)C(C)(C)C)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2825	103 and 105	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	FQWHPBICSYTJFK-USNCSJJCSA-N	InChI=1S/2C19H30O2Si/c2*1-18(2,3)22(4,5)21-12-10-13-15-6-7-16(19(15)8-9-19)14(11-12)17(13)20/h2*6-7,12-16H,8-11H2,1-5H3/t12-,13+,14-,15+,16-;12-,13-,14+,15-,16+	
[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@@](C3)(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])=O)[H])(C11CC1)[H])[H].[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@](C3)(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2826	156 and 174	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LRBMQHNWBCZTAM-VEJFGLIQSA-N	InChI=1S/2C22H36O2Si/c2*1-13(2)25(14(3)4,15(5)6)24-16-11-17-19-7-8-20(22(19)9-10-22)18(12-16)21(17)23/h2*7-8,13-20H,9-12H2,1-6H3/t16-,17+,18-,19+,20-;16-,17-,18+,19-,20+	
[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@@](C3)(O)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2827	104	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	XQYGTBHTERBERY-HBKXCPMBSA-N	InChI=1S/C13H16O2/c14-7-5-8-10-1-2-11(13(10)3-4-13)9(6-7)12(8)15/h1-2,7-11,14H,3-6H2/t7-,8-,9+,10-,11+	
[C@]12(\C=C/[C@]([C@@]3(C([C@]2(C[C@](C3)(O)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2828	106	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	XQYGTBHTERBERY-HQUNYVMJSA-N	InChI=1S/C13H16O2/c14-7-5-8-10-1-2-11(13(10)3-4-13)9(6-7)12(8)15/h1-2,7-11,14H,3-6H2/t7-,8+,9-,10+,11-	
[C@]12(\C=C/[C@]([C@@]3([C@@]4([C@]2(C[C@](C3)(O4)[H])[H])O[Si](C)(C)C(C)(C)C)[H])(C11CC1)[H])[H]	UALIB-2829	108	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	VPWZAUOATKUUIJ-DAWCXVBWSA-N	InChI=1S/C19H30O2Si/c1-17(2,3)22(4,5)21-19-15-10-12(20-19)11-16(19)14-7-6-13(15)18(14)8-9-18/h6-7,12-16H,8-11H2,1-5H3/t12-,13+,14-,15+,16-,19-	
C1[C@@]2([C@]3([C@]4([C@]([C@@]([C@@]1(C31CC1)[H])(CCC4)[H])(O2)C)[H])[H])[H]	UALIB-2830	100	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	QBXCEBUUSTUSRW-KALVJPODSA-N	InChI=1S/C14H20O/c1-13-8-3-2-4-9(13)12-11(15-13)7-10(8)14(12)5-6-14/h8-12H,2-7H2,1H3/t8-,9+,10-,11-,12-,13+/m1/s1	
[C@]12(\C=C/[C@]([C@@]3(C([C@]2(CC(C3)=O)[H])=O)[H])(C11CC1)[H])[H]	UALIB-2831	129	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	ONTWDAZKMYVQLT-DTIDVZRVSA-N	InChI=1S/C13H14O2/c14-7-5-8-10-1-2-11(13(10)3-4-13)9(6-7)12(8)15/h1-2,8-11H,3-6H2/t8-,9+,10-,11+	
[C@]12(\C=C/[C@]([C@@]3(C([C@@]2(C=C(C3)OS(=O)(=O)C(F)(F)F)[H])=O)[H])(C11CC1)[H])[H]	UALIB-2832	130	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	AJNAOPBAZRSKHX-CHWFTXMASA-N	InChI=1S/C14H13F3O4S/c15-14(16,17)22(19,20)21-7-5-8-10-1-2-11(13(10)3-4-13)9(6-7)12(8)18/h1-2,5,8-11H,3-4,6H2/t8-,9-,10+,11-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
