PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-25	Sulfonated Di-1-adamantylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=P(C12CC3CC(C2)CC(C3)C1)(C45CC6CC(C5)CC(C6)C4)CC7=CC=C(S(=O)([O-])=O)C=C7.[Na+]	InChI=1S/C27H37O4PS.Na/c28-32(17-18-1-3-25(4-2-18)33(29,30)31,26-11-19-5-20(12-26)7-21(6-19)13-26)27-14-22-8-23(15-27)10-24(9-22)16-27;/h1-4,19-24H,5-17H2,(H,29,30,31);/q;+1/p-1
UALIB-26	Sulfonated Dicyclohexylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=P(C1CCCCC1)(C2CCCCC2)CC3=CC=C(S(=O)([O-])=O)C=C3.[Na+]	InChI=1S/C19H29O4PS.Na/c20-24(17-7-3-1-4-8-17,18-9-5-2-6-10-18)15-16-11-13-19(14-12-16)25(21,22)23;/h11-14,17-18H,1-10,15H2,(H,21,22,23);/q;+1/p-1
UALIB-27	di-tert-butylbenzylphosphine	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(P(C(C)(C)C)CC1=CC=CC=C1)(C)C	InChI=1S/C15H25P/c1-14(2,3)16(15(4,5)6)12-13-10-8-7-9-11-13/h7-11H,12H2,1-6H3
UALIB-28	Di-1-adamantylbenzylphosphine	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	P(C12CC3CC(C2)CC(C3)C1)(C45CC6CC(C5)CC(C6)C4)CC7=CC=CC=C7	InChI=1S/C27H37P/c1-2-4-19(5-3-1)18-28(26-12-20-6-21(13-26)8-22(7-20)14-26)27-15-23-9-24(16-27)11-25(10-23)17-27/h1-5,20-25H,6-18H2
UALIB-29	Dicyclohexylbenzylphosphine	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	P(C1CCCCC1)(C2CCCCC2)CC3=CC=CC=C3	InChI=1S/C19H29P/c1-4-10-17(11-5-1)16-20(18-12-6-2-7-13-18)19-14-8-3-9-15-19/h1,4-5,10-11,18-19H,2-3,6-9,12-16H2
UALIB-30	Di-tert-butyl[4-sulfonatobenzyl]phosphine sodium salt	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(P(C(C)(C)C)CC1=CC=C(S(=O)([O-])=O)C=C1)(C)C.[Na+]	InChI=1S/C15H25O3PS.Na/c1-14(2,3)19(15(4,5)6)11-12-7-9-13(10-8-12)20(16,17)18;/h7-10H,11H2,1-6H3,(H,16,17,18);/q;+1/p-1
UALIB-31	Di-1-adamantyl[4-sulfonatobenzyl]phosphine sodium salt	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=S(C1=CC=C(C=C1)CP(C23CC4CC(C3)CC(C4)C2)C56CC7CC(C6)CC(C7)C5)([O-])=O.[Na+]	InChI=1S/C27H37O3PS.Na/c28-32(29,30)25-3-1-18(2-4-25)17-31(26-11-19-5-20(12-26)7-21(6-19)13-26)27-14-22-8-23(15-27)10-24(9-22)16-27;/h1-4,19-24H,5-17H2,(H,28,29,30);/q;+1/p-1
UALIB-32	Palladium bis(di-tert-butyl[4-sulfonatobenzyl]phosphine) dichloride	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC([P](C(C)(C)C)([Pd](Cl)(Cl)[P](C(C)(C)C)(C(C)(C)C)CC1=CC=C(S(=O)([O-])=O)C=C1)CC2=CC=C(S(=O)([O-])=O)C=C2)(C)C.[Na+].[Na+]	InChI=1S/2C15H25O3PS.2ClH.2Na.Pd/c2*1-14(2,3)19(15(4,5)6)11-12-7-9-13(10-8-12)20(16,17)18;;;;;/h2*7-10H,11H2,1-6H3,(H,16,17,18);2*1H;;;/q;;;;2*+1;+2/p-4
UALIB-33	2,4,6-Trimethyldiphenylacetylene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=C(C#CC2=CC=CC=C2)C(C)=CC(C)=C1	InChI=1S/C17H16/c1-13-11-14(2)17(15(3)12-13)10-9-16-7-5-4-6-8-16/h4-8,11-12H,1-3H3
UALIB-34	1-(2-Phenylethynyl)-4-trifluoromethylbenzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	FC(C1=CC=C(C#CC2=CC=CC=C2)C=C1)(F)F	InChI=1S/C15H9F3/c16-15(17,18)14-10-8-13(9-11-14)7-6-12-4-2-1-3-5-12/h1-5,8-11H
