PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-88	2-(1-Phenyl-menthan-1-ol)-indole-3-acetic acid benzylamide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	OC(C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1)C1=CC=CC=C1	"InChI=1S/C24H22N2O2/c27-22(25-16-17-9-3-1-4-10-17)15-20-19-13-7-8-14-21(19)26-23(20)24(28)18-11-5-2-6-12-18/h1-14,24,26,28H,15-16H2,(H,25,27)

"
UALIB-89	2-(E)-(3-Methoxy-3-methyl-1-butene)-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)\C=C\C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C23H26N2O2/c1-23(2,27-3)14-13-21-19(18-11-7-8-12-20(18)25-21)15-22(26)24-16-17-9-5-4-6-10-17/h4-14,25H,15-16H2,1-3H3,(H,24,26)/b14-13+

"
UALIB-90	2-(E)-(3-Methyl-1-butene-3-ol)-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)(O)\C=C\C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C22H24N2O2/c1-22(2,26)13-12-20-18(17-10-6-7-11-19(17)24-20)14-21(25)23-15-16-8-4-3-5-9-16/h3-13,24,26H,14-15H2,1-2H3,(H,23,25)/b13-12+

"
UALIB-91	2-(E)-(3-Methoxy-3-methyl-1-butene)-indole-3-acetic acid histamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)\C=C\C1=C(CC(=O)NCCC2=CN=CN2)C2=CC=CC=C2N1	"InChI=1S/C21H26N4O2/c1-21(2,27-3)10-8-19-17(16-6-4-5-7-18(16)25-19)12-20(26)23-11-9-15-13-22-14-24-15/h4-8,10,13-14,25H,9,11-12H2,1-3H3,(H,22,24)(H,23,26)/b10-8+

"
UALIB-92	2-(E)-(3-Methoxy-3-methyl-1-butene)-indole-3-acetic acid N(^tau)-tritylhistamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)\C=C\C1=C(CC(=O)NCCC2=CN(C=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C40H40N4O2/c1-39(2,46-3)25-23-37-35(34-21-13-14-22-36(34)43-37)27-38(45)41-26-24-33-28-44(29-42-33)40(30-15-7-4-8-16-30,31-17-9-5-10-18-31)32-19-11-6-12-20-32/h4-23,25,28-29,43H,24,26-27H2,1-3H3,(H,41,45)/b25-23+

"
UALIB-93	2-(beta,beta-Dimethylacryloyl)-indole-3-acetic acid N(^tau)-tritylhistamine amide-N(^pi)-methyl iodide salt	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	[I-].CN1C=[N+](C=C1CCNC(=O)CC1=C(NC2=CC=CC=C12)C(=O)C=C(C)C)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	"InChI=1S/C40H38N4O2.HI/c1-29(2)25-37(45)39-35(34-21-13-14-22-36(34)42-39)26-38(46)41-24-23-33-27-44(28-43(33)3)40(30-15-7-4-8-16-30,31-17-9-5-10-18-31)32-19-11-6-12-20-32;/h4-22,25,27-28H,23-24,26H2,1-3H3,(H-,41,42,45,46);1H

"
UALIB-94	2-(beta,beta-Dimethylacryloyl)-indole-3-acetic acid N(^pi)-methylhistamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CN1C=NC=C1CCNC(=O)CC1=C(NC2=CC=CC=C12)C(=O)C=C(C)C	"InChI=1S/C21H24N4O2/c1-14(2)10-19(26)21-17(16-6-4-5-7-18(16)24-21)11-20(27)23-9-8-15-12-22-13-25(15)3/h4-7,10,12-13,24H,8-9,11H2,1-3H3,(H,23,27)

"
UALIB-95	2-(E)-(3-Methyl-butadiene)-3-indole-acetic acid N(^pi)-methylhistamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CN1C=NC=C1CCNC(=O)CC1=C(NC2=CC=CC=C12)\C=C\C(C)=C	"InChI=1S/C21H24N4O/c1-15(2)8-9-20-18(17-6-4-5-7-19(17)24-20)12-21(26)23-11-10-16-13-22-14-25(16)3/h4-9,13-14,24H,1,10-12H2,2-3H3,(H,23,26)/b9-8+

"
UALIB-96	2-(3-Methoxy-3-methyl-butane)-3-indole-acetic acid N(^pi)-methylhistamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)CCC1=C(CC(=O)NCCC2=CN=CN2C)C2=CC=CC=C2N1	"InChI=1S/C22H30N4O2/c1-22(2,28-4)11-9-20-18(17-7-5-6-8-19(17)25-20)13-21(27)24-12-10-16-14-23-15-26(16)3/h5-8,14-15,25H,9-13H2,1-4H3,(H,24,27)

"
UALIB-97	2-(beta,beta-Dimethylacryloyl)-indole-3-acetic acid	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(=O)C1=C(CC(O)=O)C2=CC=CC=C2N1	"InChI=1S/C15H15NO3/c1-9(2)7-13(17)15-11(8-14(18)19)10-5-3-4-6-12(10)16-15/h3-7,16H,8H2,1-2H3,(H,18,19)

"
UALIB-98	2-Acetyl-indole-3-acetic acid	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(=O)C1=C(CC(O)=O)C2=CC=CC=C2N1	"InChI=1S/C12H11NO3/c1-7(14)12-9(6-11(15)16)8-4-2-3-5-10(8)13-12/h2-5,13H,6H2,1H3,(H,15,16)

"
